,line,Longitude,Latitude,station,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
6513,5,-3.6170047299183135,40.443742894291184,TORRE ARIAS/5,3,Plaza,Rock Club,Shopping Mall,Gastropub,Restaurant,Lake,Office,Gym Pool,Shoe Store,Wine Shop
6520,5,-3.723615630429613,40.393349794539645,URGEL/5,2,Coffe Shop,Gym,Fast Food Restaurant,Grocery Store,Flea Market,Supermarket,Neighborhood,Wine Shop,Miscellaneous Shop,Building
6531,5,-3.7398266451178808,40.388841774504186,VISTA ALEGRE/5,2,Fast Food Restaurant,Grocery Store,Breakfast Spot,Plaza,Comedy Club,Brewery,Convenience Store,Pub,Restaurant,Bar
6551,6,-3.738937772474832,40.40991964465943,ALTO DE EXTREMADURA/6,2,Grocery Store,Restaurant,Stadium,Bar,Supermarket,Athletics & Sports,Student Center,Park,Sandwich Place,Pizza Place
6565,6,-3.688641465063928,40.39309490002911,ARGANZUELA-PLANETARIO/6,0,Restaurant,Bar,Tapas Restaurant,Coffe Shop,Gym,Wine Bar,Mexican Restaurant,Pharmacy,Sushi Restaurant,Argentinian Restaurant
6597,6,-3.74100000338481,40.392699152623656,CARPETANA/6,2,Breakfast Spot,Grocery Store,Convenience Store,Coffe Shop,Fast Food Restaurant,Neighborhood,Miscellaneous Shop,Building,Paper / Office Supplies Store,Tennis Court
6604,6,-3.726795069432717,40.44355521068528,CIUDAD UNIVERSITARIA/6,1,Restaurant,Museum,Plaza,Park,Music Venue,Garden,Coffe Shop,German Restaurant,Kebab Restaurant,Miscellaneous Shop
6612,6,-3.670409622513098,40.40696791355658,CONDE DE CASAL/6,0,Restaurant,Grocery Store,Bar,Bakery,Gym,Brewery,Coffe Shop,Gourmet Shop,Korean Restaurant,Indian Restaurant
6658,6,-3.712297357886012,40.44635715962408,GUZMAN EL BUENO/6,1,Restaurant,Bar,Tapas Restaurant,Park,Hotel,Fish Market,Soccer Field,Lounge,Bakery,Plaza
6687,6,-3.7443003611694317,40.39922754347372,LAGUNA/6,0,Asian Restaurant,Pizza Place,Plaza,Lake,Park,Tapas Restaurant,Bar,Tea Room,German Restaurant,Kebab Restaurant
6698,6,-3.745343133463092,40.405094727976405,LUCERO/6,2,Pizza Place,Asian Restaurant,Snack Place,Bar,Grocery Store,Gym,Supermarket,Falafel Restaurant,Park,Sandwich Place
6709,6,-3.6781422464152858,40.395373186053256,MENDEZ ALVARO/6,3,Coffe Shop,Restaurant,Italian Restaurant,Argentinian Restaurant,Mediterranean Restaurant,Cafeteria,Beer Garden,Department Store,Convenience Store,Asian Restaurant
6736,6,-3.719432369777448,40.44643009120298,METROPOLITANO/6,1,Restaurant,Tapas Restaurant,College Residence Hall,German Restaurant,Gym Pool,Lake,Office,Shoe Store,Wine Shop,Art Museum
6741,6,-3.6685990513216953,40.42288839037709,O'DONNELL/6,1,Restaurant,Tapas Restaurant,Coffe Shop,Bar,Bakery,Grocery Store,Gym,Seafood Restaurant,Ice Cream Shop,Cocktail Bar
6787,6,-3.723134262030649,40.38690230656425,OPAÑEL/6,0,Bar,Restaurant,Colombian Restaurant,Grocery Store,Gym,Supermarket,Nightclub,Plaza,Bakery,Burger Joint
6798,6,-3.727241955574144,40.413894717383116,PUERTA DEL ANGEL/6,1,Restaurant,Grocery Store,Farmers Market,Circus,Food & Drink Shop,Nightclub,Snack Place,Sporting Goods Shop,Concert Hall,Diner
6826,6,-3.684064545714558,40.443788941460426,REPUBLICA ARGENTINA/6,1,Restaurant,Coffe Shop,Italian Restaurant,Plaza,Gourmet Shop,Snack Place,Bridal Shop,Sushi Restaurant,Diner,Toy / Game Store
6859,6,-3.6695234555781413,40.41506318581949,SAINZ DE BARANDA/6,1,Restaurant,Italian Restaurant,Brewery,Plaza,Burger Joint,Pool,Athletics & Sports,Sports Club,Cocktail Bar,Indian Restaurant
6894,6,-3.7069010072851833,40.38709277398245,USERA/6,2,Grocery Store,Fast Food Restaurant,Restaurant,Bakery,BBQ Joint,Pool,Noodle House,Gastropub,Soccer Field,Pub
6909,7A,-3.6992550788031178,40.438373729875,ALONSO CANO/7A,0,Restaurant,Tapas Restaurant,Bar,Theater,Mexican Restaurant,Italian Restaurant,Japanese Restaurant,Coffe Shop,Building,Bistro
6963,7A,-3.7177043655225055,40.47021551543151,ANTONIO MACHADO/7A,0,Restaurant,Park,Mediterranean Restaurant,Coffe Shop,Pharmacy,Tapas Restaurant,Gym,Supermarket,Soccer Field,Building
6974,7A,-3.641060838278901,40.4301975485955,ASCAO/7A,2,Restaurant,Supermarket,Spa,Peruvian Restaurant,Brewery,Pub,Massage Studio,Hobby Shop,Pizza Place,Grocery Store
6987,7A,-3.7184112591111615,40.48009393979854,AVDA. DE LA ILUSTRACION/7A,2,Tapas Restaurant,Restaurant,Comic Shop,Diner,Convenience Store,Argentinian Restaurant,Italian Restaurant,Bakery,Fast Food Restaurant,Soccer Field
7001,7A,-3.652004710876878,40.4390913221314,BARRIO DE LA CONCEPCION/7A,0,Restaurant,Tapas Restaurant,Grocery Store,Park,Butcher,Coffe Shop,Bar,Supermarket,Diner,Mexican Restaurant
7023,7A,-3.672157754508404,40.43933626219725,CARTAGENA/7A,3,Restaurant,Japanese Restaurant,Pizza Place,Hotel,Seafood Restaurant,Tapas Restaurant,Coffe Shop,Wine Bar,Burger Joint,Cosmetics Shop
7056,7A,-3.6001566460057206,40.433390115428594,ESTADIO OLIMPICO/7A,2,Playground,Park,Argentinian Restaurant,Beer Bar,Soccer Stadium,Seafood Restaurant,Sports Club,Sporting Goods Shop,Hostel,Flea Market
7065,7A,-3.712392392186851,40.45647366576084,FRANCOS RODRIGUEZ/7A,0,Coffe Shop,Bar,Restaurant,Pool,Gym,Plaza,Steakhouse,Electronics Store,Park,Chinese Restaurant
7085,7A,-3.6333103671517417,40.4284204389523,GARCIA NOBLEJAS/7A,0,Coffe Shop,Restaurant,Supermarket,Park,Bar,Asian Restaurant,Gym,Plaza,Breakfast Spot,Food
7101,7A,-3.71374135431468,40.43905997233827,ISLAS FILIPINAS/7A,0,Restaurant,Bar,Coffe Shop,Bakery,Beer Garden,Pub,Seafood Restaurant,Pizza Place,Burrito Place,Sports Bar
7142,7A,-3.723053448492279,40.48501089648855,LACOMA/7A,0,Bar,Tapas Restaurant,Chinese Restaurant,Bakery,Restaurant,Park,BBQ Joint,Argentinian Restaurant,Brewery,Pub
7159,7A,-3.6078871300557416,40.43298035455762,LAS MUSAS/7A,2,Fast Food Restaurant,Seafood Restaurant,Coffe Shop,Grocery Store,Pizza Place,Plaza,Park,Bakery,Pet Store,Miscellaneous Shop
7168,7A,-3.662973683741616,40.439443351234395,PARQUE DE LAS AVENIDAS/7A,1,Restaurant,Park,Hotel,Bar,Grocery Store,Soccer Field,Pool Hall,Coffe Shop,Bakery,Fast Food Restaurant
7187,7A,-3.7158303579251375,40.475920794508795,PEÑAGRANDE/7A,0,Restaurant,Tapas Restaurant,Diner,Gym,Pizza Place,Bakery,Farmers Market,Convenience Store,Soccer Field,Kebab Restaurant
7215,7A,-3.625725983210804,40.42798425779679,SIMANCAS/7A,1,Park,Restaurant,Supermarket,Music Venue,Gym Pool,Lake,Office,Shoe Store,Arcade,Wine Shop
7220,7A,-3.71598379538069,40.464820810147145,VALDEZARZA/7A,1,Restaurant,Supermarket,Soccer Field,Pharmacy,Asian Restaurant,Gym Pool,Lake,Office,Arcade,Shoe Store
7275,8,-3.5695410675308468,40.468644167154046,AEROPUERTO T1 T2 T3/8,3,Coffe Shop,Airport Service,Airport Terminal,Duty-free Shop,Rental Car Location,Airport Lounge,Airport Gate,Bus Station,Diner,Frozen Yogurt Shop
7310,8,-3.593254085368613,40.491759039636115,AEROPUERTO T4/8,3,Airport Service,Restaurant,Coffe Shop,Airport Lounge,Deli / Bodega,Fast Food Restaurant,Bus Station,Accessories Store,Rental Car Location,Police Station
7344,8,-3.5825311260580377,40.475768604419436,BARAJAS/8,1,Restaurant,Hotel,Tapas Restaurant,Argentinian Restaurant,Sandwich Place,Gastropub,Plaza,Wine Bar,Pizza Place,Brewery
7363,8,-3.616210052023946,40.46389128127541,CAMPO DE LAS NACIONES/8,1,Restaurant,Hotel,Paella Restaurant,Arcade,Office,Clothing Store,Exhibit,Convention Center,Flea Market,Bistro
7374,8,-3.676832402038624,40.456336002823406,COLOMBIA/8,1,Restaurant,Bar,Grocery Store,Gastropub,Japanese Restaurant,Plaza,Diner,Eastern European Restaurant,Fried Chicken Joint,Furniture / Home Store
7435,8,-3.648674574750905,40.467992917343715,PINAR DEL REY/8,0,Restaurant,Plaza,Gymnastics Gym,Food,Music Venue,Soccer Field,Indian Restaurant,Pub,Chinese Restaurant,College Auditorium
7450,9A,-3.6418137462853575,40.40522025828109,ARTILLEROS/9A,2,Restaurant,Shopping Mall,Playground,Optical Shop,Grocery Store,Flower Shop,Fried Chicken Joint,Plaza,Park,Skating Rink
7461,9A,-3.703170082953557,40.47688138899434,BARRIO DEL PILAR/9A,0,Restaurant,Clothing Store,Italian Restaurant,Burger Joint,Cosmetics Shop,Chocolate Shop,Big Box Store,American Restaurant,Sporting Goods Shop,Video Game Store
7495,9A,-3.677384730079552,40.451440884039954,CONCHA ESPINA/9A,1,Restaurant,Tapas Restaurant,Coffe Shop,Bakery,Japanese Restaurant,Bar,Pizza Place,Gastropub,Pub,German Restaurant
7540,9A,-3.678220651650197,40.44426481662303,CRUZ DEL RAYO/9A,0,Restaurant,Bar,Grocery Store,Pizza Place,Plaza,Coffe Shop,Tapas Restaurant,Supermarket,Japanese Restaurant,Concert Hall
7596,9A,-3.679175080845444,40.46761952315197,DUQUE DE PASTRANA/9A,1,Restaurant,Hotel,Cocktail Bar,Gym Pool,Bowling Alley,Plaza,Pub,Spa,Kebab Restaurant,Tea Room
7604,9A,-3.6617915330011215,40.41146804102253,ESTRELLA/9A,2,Restaurant,Bar,Fast Food Restaurant,Plaza,American Restaurant,Smoke Shop,Big Box Store,Sports Club,Sandwich Place,Chinese Restaurant
7622,9A,-3.70752239383905,40.484656572327964,HERRERA ORIA/9A,3,Bar,Hotel,Food & Drink Shop,Beer Garden,Electronics Store,Sushi Restaurant,Gym Pool,Mediterranean Restaurant,Bakery,Sculpture Garden
7640,9A,-3.6785854582722304,40.418388748041785,IBIZA/9A,1,Restaurant,Tapas Restaurant,Coffe Shop,Seafood Restaurant,Mediterranean Restaurant,Gastropub,Bakery,Ice Cream Shop,Asian Restaurant,Harbor / Marina
7685,9A,-3.71635730886455,40.49108857754821,MIRASIERRA/9A,2,Convenience Store,Coffe Shop,Grocery Store,Gym,Seafood Restaurant,Sports Club,Neighborhood,Miscellaneous Shop,Building,Paper / Office Supplies Store
7692,9A,-3.7090842328356834,40.499646860142015,PACO DE LUCIA/9A,1,Restaurant,Bar,Supermarket,Playground,Tennis Court,Tennis Stadium,Burger Joint,Deli / Bodega,Gym,Tapas Restaurant
7706,9A,-3.635122746009377,40.40050941790844,PAVONES/9A,2,Restaurant,Breakfast Spot,Tea Room,Grocery Store,Athletics & Sports,Pharmacy,Diner,German Restaurant,Building,Paper / Office Supplies Store
7713,9A,-3.675802343419993,40.46299966943853,PIO XII/9A,1,Restaurant,Supermarket,Steakhouse,Big Box Store,Peruvian Restaurant,Arcade,Diner,Plaza,Deli / Bodega,Gym
7734,9A,-3.602404004973017,40.40381066236725,SAN CIPRIANO/9A,2,Restaurant,Grocery Store,Market,Electronics Store,Convenience Store,Ice Cream Shop,Beer Bar,Playground,Pizza Place,Wine Bar
7745,9A,-3.621566677060544,40.40004253874335,VALDEBERNARDO/9A,1,Restaurant,Gym,Supermarket,Food,Fast Food Restaurant,Pizza Place,Falafel Restaurant,Tapas Restaurant,Soccer Stadium,Kebab Restaurant
7757,9A,-3.695884900062436,40.46943002884864,VENTILLA/9A,1,Restaurant,Gym,Flea Market,BBQ Joint,Library,Seafood Restaurant,Department Store,History Museum,General Entertainment,Soccer Stadium
7766,9A,-3.6088656317893952,40.4042092535065,VICALVARO/9A,1,Restaurant,Pizza Place,Ice Cream Shop,Beer Bar,Breakfast Spot,Fast Food Restaurant,Sandwich Place,Coffe Shop,Grocery Store,Dessert Shop
7778,9A,-3.652739766845656,40.41024020995498,VINATEROS/9A,0,Coffe Shop,Bar,Plaza,Restaurant,Pool,Ice Cream Shop,Brewery,Sandwich Place,Pub,Chinese Restaurant
7836,C-1,-3.6628292371348286,40.484741355889604,FUENTE DE LA MORA/C-1,1,Restaurant,Park,Food,Sushi Restaurant,Brewery,Breakfast Spot,Chinese Restaurant,Mediterranean Restaurant,Italian Restaurant,Fast Food Restaurant
7854,C-1,-3.6908601632799374,40.42340615992542,RECOLETOS/C-1,1,Restaurant,Hotel,Coffe Shop,Japanese Restaurant,Bakery,Clothing Store,Shoe Store,Accessories Store,Italian Restaurant,Art Gallery
7958,C-10,-3.785867623306033,40.4483218454516,ARAVACA/C-10,2,Coffe Shop,Restaurant,Brewery,Trail,Paella Restaurant,Food,American Restaurant,Deli / Bodega,Sushi Restaurant,Athletics & Sports
7975,C-10,-3.8077462504578414,40.46536911220596,"BARRIAL-C.COM.POZUELO, EL/C-10",1,Restaurant,Coffe Shop,Fast Food Restaurant,Deli / Bodega,Department Store,Argentinian Restaurant,Shopping Mall,Big Box Store,Cosmetics Shop,Burger Joint
8086,C-2,-3.668014615023188,40.38166623843375,ASAMBLEA DE MADRID-ENTREVIAS/C-2,0,Clothing Store,Restaurant,Pizza Place,Shopping Mall,Toy / Game Store,Park,Sandwich Place,Gym,Wine Shop,Building
8140,C-2,-3.609063933842621,40.386982804664136,SANTA EUGENIA/C-2,0,Restaurant,Farmers Market,Miscellaneous Shop,Bar,Tapas Restaurant,Gym,Supermarket,Yoga Studio,Building,Paper / Office Supplies Store
8169,C-2,-3.6245600075556976,40.382206398678925,VALLECAS/C-2,2,Department Store,Grocery Store,Breakfast Spot,Church,Fast Food Restaurant,Deli / Bodega,Dessert Shop,Shoe Store,Building,Paper / Office Supplies Store
8219,C-3,-3.6947457997818662,40.48823855927128,RAMON Y CAJAL/C-3,0,Restaurant,Coffe Shop,Bar,Breakfast Spot,Toy / Game Store,Diner,IT Services,Pub,Burger Joint,Nightclub
8252,C-3,-3.6839904315941423,40.35263553750056,VILLAVERDE BAJO/C-3,2,Track Stadium,Latin American Restaurant,Tapas Restaurant,Gym,Pizza Place,Supermarket,Brewery,Event Space,Kebab Restaurant,Miscellaneous Shop
8284,C-4A,-3.700350083538946,40.54378058046952,CANTOBLANCO UNIVERSIDAD/C-4A,3,Coffe Shop,College Gym,Pool,Paper / Office Supplies Store,Neighborhood,General Entertainment,Kebab Restaurant,Miscellaneous Shop,Building,Tennis Court
8386,C-5,-3.7802803036935084,40.38117943069571,"AGUILAS, LAS/C-5",0,Restaurant,Bar,Shopping Mall,Gym Pool,Convenience Store,Seafood Restaurant,Park,Smoke Shop,Sporting Goods Shop,Tapas Restaurant
8413,C-5,-3.698616796434892,40.378953851961384,DOCE DE OCTUBRE/C-5,1,Restaurant,Coffe Shop,Office,Seafood Restaurant,Big Box Store,Beer Garden,Sandwich Place,Lake,Gym Pool,Shoe Store
8424,C-5,-3.7685747280232835,40.38364522762785,FANJUL/C-5,0,Sandwich Place,Gym,Pharmacy,Sports Club,Athletics & Sports,Tapas Restaurant,Bar,Tea Room,Miscellaneous Shop,Building
8506,C-5,-3.7051623461266345,40.350283132442506,PUENTE ALCOCER/C-5,2,Restaurant,Grocery Store,Pizza Place,Mediterranean Restaurant,Gastropub,German Restaurant,Miscellaneous Shop,Building,Paper / Office Supplies Store,Tennis Court
